L1_BLOCKSIZE,L1_ASSOC,L1_SIZE,VC_BLOCKS,L2_SIZE,L2_ASSOC,l1_miss_rate,l1_avg_access_time,edp,area
32,1,1024,4,262144,8,0.1484,0.714016,8.35402e+07,1.17173
32,1,2048,4,262144,8,0.11406,0.713317,7.1456e+07,1.17673
32,1,4096,4,262144,8,0.08358,0.717907,6.19062e+07,1.19765
32,1,8192,4,262144,8,0.05705,0.725816,5.74247e+07,1.21758
32,1,16384,4,262144,8,0.04032,0.745323,5.72743e+07,1.26814
32,1,32768,4,262144,8,0.03318,0.776874,6.64976e+07,1.37514
32,1,1024,8,262144,8,0.13412,0.707542,7.92812e+07,1.17236
32,1,2048,8,262144,8,0.10511,0.709259,6.89552e+07,1.17736
32,1,4096,8,262144,8,0.07735,0.715083,6.01021e+07,1.19827
32,1,8192,8,262144,8,0.05203,0.72354,5.56038e+07,1.21821
32,1,16384,8,262144,8,0.03831,0.744412,5.66755e+07,1.26877
32,1,32768,8,262144,8,0.03209,0.77638,6.61747e+07,1.37577
32,1,1024,16,262144,8,0.11477,0.698769,7.40567e+07,1.17352
32,1,2048,16,262144,8,0.09156,0.703116,6.54501e+07,1.17852
32,1,4096,16,262144,8,0.06649,0.71016,5.69833e+07,1.19944
32,1,8192,16,262144,8,0.04643,0.721001,5.41092e+07,1.21937
32,1,16384,16,262144,8,0.03633,0.743514,5.6266e+07,1.26993
32,1,32768,16,262144,8,0.03088,0.775832,6.58833e+07,1.37693
