L1_ASSOC,L1_SIZE,l1_miss_rate,l1_avg_access_time,edp,area

1,2048,0.14774,0.728586,7.77272e+07,1.17604
1,4096,0.10017,0.725428,6.33742e+07,1.19695
1,8192,0.067,0.730327,5.81099e+07,1.21689
1,16384,0.04609,0.747939,5.77009e+07,1.26744
1,32768,0.03768,0.778914,6.69575e+07,1.37445
1,65536,0.03292,0.83027,8.12026e+07,1.48986
1,131072,0.03233,0.896313,1.13743e+08,1.76
2,2048,0.10714,0.746946,7.3226e+07,1.18205
2,4096,0.07528,0.740116,6.19529e+07,1.18845
2,8192,0.04734,0.750413,5.88639e+07,1.22122
2,16384,0.03384,0.765422,6.69982e+07,1.2796
2,32768,0.02881,0.804609,8.2404e+07,1.36242
2,65536,0.02713,0.840615,1.00202e+08,1.54232
2,131072,0.0259,0.898333,1.46237e+08,1.83756
4,2048,0.09622,0.560022,3.92804e+07,1.16178
4,4096,0.05992,0.750482,7.90286e+07,1.20005
4,8192,0.04247,0.752225,7.23237e+07,1.22421
4,16384,0.02832,0.772524,8.08682e+07,1.24954
4,32768,0.0264,0.809921,1.05944e+08,1.345
4,65536,0.02595,0.849405,1.398e+08,1.50414
4,131072,0.02582,0.90691,1.75311e+08,1.76238
8,2048,0.09069,0.557515,3.77889e+07,1.16178
8,4096,0.05365,0.540722,2.68395e+07,1.16178
8,8192,0.03954,0.776872,1.55189e+08,1.26412
8,16384,0.02774,0.780753,1.43225e+08,1.28254
8,32768,0.02625,0.816653,1.70299e+08,1.40878
8,65536,0.02589,0.861954,2.08529e+08,1.50928
8,131072,0.02582,0.926581,2.80811e+08,1.85443
FULL WAY,2048,0.0886,0.732583,1.09332e+08,1.16949
FULL WAY,4096,0.04954,0.721201,1.3794e+08,1.17844
FULL WAY,8192,0.03912,0.727356,2.60743e+08,1.19335
FULL WAY,16384,0.02634,0.733073,4.41112e+08,1.2252
FULL WAY,32768,0.02624,0.77601,7.66235e+08,1.26364
FULL WAY,65536,0.02583,0.79802,1.57161e+09,1.35084
FULL WAY,131072,0.02582,0.832929,3.17093e+09,1.65571
FULL WAY,262144,0.02582,0.921134,6.19703e+09,1.92861
FULL WAY,524288,0.02582,0.997414,1.33575e+10,2.72535
FULL WAY,1048576,0.02582,1.11272,2.914e+10,4.22184
